ID,Sequence,Fomite
164,2,Frontdesk
164,3,End
165,1,Frontdesk
165,2,End
166,1,Elevator
166,2,End
167,1,Elevator
167,2,End
168,1,Frontdesk
168,2,End
169,1,Chairs 
169,2,End
170,1,Elevator
170,2,End
171,1,Elevator
171,2,End
172,1,Tabletop
172,2,End
173,1,Tabletop
173,2,Fridge 
173,3,End
174,1,Elevator
174,2,Tabletop
174,3,End
175,1,Elevator
175,2,Frontdesk
175,3,End
176,1,Luggagecart 
176,2,Frontdesk
176,3,End
177,1,Elevator
177,2,Frontdesk
177,3,End
178,1,Elevator
178,2,Frontdesk
178,3,Tabletop
178,4,Chairs 
178,5,End
179,1,Frontdesk
179,2,Cardreader
179,3,End
180,1,Elevator
180,2,Tabletop
180,3,End
181,1,Tabletop
181,2,End
182,1,Frontdesk
182,2,Tabletop
182,3,End
183,1,Frontdesk
183,2,End
184,1,Elevator
184,2,End
185,1,Chairs 
185,2,End
186,1,Chairs 
186,2,End
187,1,Frontdesk
187,2,Elevator
187,3,Cardreader
187,4,End
188,1,Frontdesk
188,2,Tabletop
188,3,Frontdesk
188,4,End
189,1,Elevator
189,2,End
190,1,Elevator
190,2,Tabletop
190,3,End
191,1,Frontdesk
191,2,Elevator
191,3,End
192,1,Frontdesk
192,2,End
193,1,Elevator
193,2,Backdoor
193,3,End
194,1,Tabletop
194,2,Fridge 
194,3,Frontdesk
194,4,End
195,1,Elevator
195,2,Frontdesk
195,3,End
196,1,Elevator
196,2,Tabletop
196,3,End
197,1,Tabletop
197,2,Frontdesk
197,3,Chairs 
197,4,End
198,1,Elevator
198,2,Backdoor
198,3,End
199,1,Elevator
199,2,Backdoor
199,3,End
200,1,Elevator
200,2,End
201,1,Elevator
201,2,Tabletop
201,3,End
202,1,Backdoor
202,2,End
203,1,Elevator
203,2,End
204,1,Elevator
204,2,Frontdesk
204,3,End
205,1,Tabletop
205,2,Frontdesk
205,3,Elevator
205,4,End
206,1,Frontdesk
206,2,Elevator
206,3,End
207,1,Tabletop
207,2,Frontdesk
207,3,End
208,1,Elevator
208,2,End
209,1,Tabletop
209,2,End
210,1,Frontdesk
210,2,End
211,1,Frontdesk
211,2,End
212,1,Chairs 
212,2,Frontdesk
212,3,End
213,1,Frontdesk
213,2,Tabletop
213,3,End
214,1,Frontdesk
214,2,End
215,1,Elevator
215,2,Frontdesk
215,3,End
216,1,Elevator
216,2,End
217,1,Tabletop
217,2,End
218,1,Elevator
218,2,End
219,1,Frontdesk
219,2,Chairs 
219,3,End
220,1,Elevator
220,2,Tabletop
220,3,Frontdesk
220,4,Elevator
220,5,End
221,1,Frontdesk
221,2,Tabletop
221,3,End
222,1,Elevator
222,2,End
223,1,Fridge 
223,2,Tabletop
223,3,End
224,1,Elevator
224,2,End
225,1,Tabletop
225,2,End
226,1,Backdoor
226,2,End
227,1,Frontdesk
227,2,Chairs 
227,3,Tabletop
227,4,Chairs 
227,5,Elevator
227,6,End
228,1,Frontdesk
228,2,Frontdesk
228,3,Frontdesk
228,4,Cardreader
228,5,End
229,1,Frontdesk
229,2,End
230,1,Frontdesk
230,2,End
231,1,Tabletop
231,2,End
232,1,Elevator
232,2,End
233,1,Elevator
233,2,Backdoor
233,3,End
234,1,Frontdesk
234,2,Elevator
234,3,End
235,1,Elevator
235,2,End
236,1,Frontdesk
236,2,End
237,1,Frontdesk
237,2,Elevator
237,3,End
238,1,Tabletop
238,2,End
239,1,Tabletop
239,2,Frontdesk
239,3,End
240,1,Tabletop
240,2,Frontdesk
240,3,End
241,1,Tabletop
241,2,Frontdesk
241,3,End
242,1,Frontdesk
242,2,End
243,1,Tabletop
243,2,Elevator
243,3,End
244,1,Tabletop
244,2,End
245,1,Tabletop
245,2,End
246,1,Elevator
246,2,End
247,1,Elevator
247,2,Tabletop
247,3,End
248,1,Backdoor
248,2,Tabletop
248,3,End
249,1,Frontdesk
249,2,End
250,1,Frontdesk
250,2,End
251,1,Backdoor
251,2,Chairs 
251,3,End
252,1,Frontdesk
252,2,End
253,1,Elevator
253,2,End
254,1,Elevator
254,2,Frontdesk
254,3,End
255,1,Elevator
255,2,Frontdesk
255,3,End
256,1,Frontdesk
256,2,End
257,1,Elevator
257,2,Tabletop
257,3,End
258,1,Tabletop
258,2,Frontdesk
258,3,Fridge 
258,4,Chairs 
258,5,End
259,1,Elevator
259,2,End
260,1,Chairs 
260,2,Frontdesk
260,3,End
261,1,Gymdoor
261,2,Tabletop
261,3,End
262,1,Frontdesk
262,2,End
263,1,Frontdesk
263,2,End
264,1,Elevator
264,2,Frontdesk
264,3,Chairs 
264,4,End
265,1,Frontdesk
265,2,End
266,1,Elevator
266,2,End
267,1,Elevator
267,2,End
268,1,Elevator
268,2,End
269,1,Frontdesk
269,2,End
270,1,Tabletop
270,2,End
271,1,Elevator
271,2,Frontdesk
271,3,End
272,1,Backdoor
272,2,End
273,1,Tabletop
273,2,Chairs 
273,3,End
274,1,Frontdesk
274,2,Tabletop
274,3,Fridge 
274,4,Backdoor
274,5,End
275,1,Frontdesk
275,2,End
276,1,Elevator
276,2,End
277,1,Tabletop
277,2,Frontdesk
277,3,End
278,1,Tabletop
278,2,Frontdesk
278,3,Elevator
278,4,Frontdesk
278,5,End
279,1,Tabletop
279,2,Elevator
279,3,Frontdesk
279,4,End
280,1,Chairs 
280,2,Tabletop
280,3,End
281,1,Elevator
281,2,End
282,1,Elevator
282,2,End
283,1,Fridge 
283,2,Tabletop
283,3,Frontdesk
283,4,Elevator
283,5,End
284,1,Frontdesk
284,2,Tabletop
284,3,End
285,1,Elevator
285,2,Tabletop
285,3,End
286,1,Frontdesk
286,2,End
287,1,Elevator
287,2,End
288,1,Elevator
288,2,Tabletop
288,3,Frontdesk
288,4,Chairs 
288,5,End
289,1,Gymdoor
289,2,Tabletop
289,3,Fridge 
289,4,End
290,1,Elevator
290,2,End
291,1,Frontdesk
291,2,End
